model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,10,0.06550943396226414,0.04523525783153886,0.692,0.07807688518377254,0.7075471698113207,0.0
ai21/j1-grande-v2-beta,10,0.05509433962264151,0.04035980927040144,0.736,0.05986651818838306,0.7688679245283019,0.0
ai21/j1-jumbo,10,0.07290566037735849,0.04132344266263822,0.6839999999999999,0.07889233169326408,0.7122641509433961,1.1102230246251565e-16
ai21/j2-large,10,0.06739622641509432,0.046666965026424215,0.692,0.07807688518377254,0.7169811320754718,1.1102230246251565e-16
anthropic/stanford-online-all-v4-s3,10,0.07043396226415095,0.04580149719050043,0.7,0.08049844718999241,0.7240566037735849,0.0
cohere/command-xlarge-beta,10,0.07164150943396227,0.050444715058397246,0.716,0.08475848040166836,0.7382075471698112,1.1102230246251565e-16
cohere/xlarge-20221108,10,0.05362264150943398,0.02951067048511959,0.796,0.05782732917920383,0.7759433962264151,0.0
lmsys/vicuna-7b-v1.3,10,0.06456603773584904,0.0500036880092333,0.6679999999999999,0.07386474125047754,0.7028301886792453,0.0
microsoft/TNLGv2_530B,10,0.072,0.04763597576680099,0.76,0.07999999999999999,0.7924528301886793,0.0
microsoft/TNLGv2_7B,10,0.06720754716981131,0.037061599017736854,0.784,0.06974238309665078,0.8160377358490566,0.0
mosaicml/mpt-30b,10,0.04800000000000001,0.04802399794667747,0.8400000000000001,0.06693280212272604,0.8514150943396226,0.0
openai/text-babbage-001,10,0.06958490566037735,0.04276370869160995,0.6679999999999999,0.08009993757800314,0.6839622641509433,1.1102230246251565e-16
openai/text-davinci-003,10,0.05426415094339625,0.05491235127486992,0.8560000000000001,0.07631513611335566,0.8443396226415094,0.0
together/bloom,10,0.052000000000000005,0.04910552350388137,0.6519999999999999,0.06705221845696084,0.6768867924528302,0.0
together/opt-175b,10,0.06692452830188679,0.04613991136136177,0.692,0.07807688518377254,0.7146226415094341,1.1102230246251565e-16
together/redpajama-incite-base-3b-v1,10,0.06696226415094339,0.024807869765023978,0.78,0.06985699678629191,0.7948113207547169,0.0
writer/palmyra-x,10,0.04181132075471696,0.039519019939622126,0.8200000000000001,0.057271284253105396,0.8254716981132075,0.0
