model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,10,0.0,0.0,0.0,0.0,0.0,0.0
ai21/j1-grande-v2-beta,10,0.028133333333333333,0.01501717535209453,0.12133333333333333,0.03138293945583952,0.127,0.0
ai21/j1-jumbo,10,0.03833333333333333,0.024312776705080627,0.196,0.04404038550643665,0.185,0.0
ai21/j2-large,10,0.0228,0.014037410334135317,0.16266666666666665,0.026364959911046922,0.16733333333333333,0.0
anthropic/stanford-online-all-v4-s3,10,0.05133333333333334,0.03183464220694879,0.23266666666666666,0.06040235462665711,0.233,0.0
cohere/command-xlarge-beta,10,0.08826666666666667,0.050532673698421224,0.21399999999999997,0.10103684696408755,0.22566666666666663,2.7755575615628914e-17
cohere/xlarge-20221108,10,0.0,0.0,0.0,0.0,0.0,0.0
lmsys/vicuna-7b-v1.3,10,0.03766666666666667,0.02279376132970502,0.254,0.042630192743328445,0.265,0.0
microsoft/TNLGv2_530B,10,0.053266666666666664,0.03649803647686634,0.29933333333333334,0.0626418390534633,0.2836666666666666,5.551115123125783e-17
microsoft/TNLGv2_7B,10,0.03599999999999999,0.017243356208503414,0.21133333333333332,0.0398943048010058,0.21000000000000002,2.7755575615628914e-17
mosaicml/mpt-30b,10,0.04293333333333333,0.028251961583814544,0.16466666666666668,0.040993224372381884,0.19566666666666666,0.0
openai/text-babbage-001,10,0.04513333333333334,0.033072042573751015,0.24066666666666667,0.05587287157268522,0.23766666666666664,2.7755575615628914e-17
openai/text-davinci-003,10,0.03586666666666666,0.027501999927278056,0.8393333333333335,0.039293765408777,0.817,0.0
together/bloom,10,0.053666666666666675,0.028952067667477953,0.24533333333333332,0.060867798456071084,0.24166666666666664,2.7755575615628914e-17
together/opt-175b,10,0.05079999999999998,0.0447787648085315,0.3393333333333333,0.06755738301621814,0.344,0.0
together/redpajama-incite-base-3b-v1,10,0.0,0.0,0.0,0.0,0.0,0.0
writer/palmyra-x,10,0.06326666666666665,0.03761347276353693,0.6806666666666666,0.07232334800509906,0.667,0.0
