model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
anthropic/stanford-online-all-v4-s3,10,0.0,0.0,0.0,0.0,0.0,0.0,BLiMP
together/bloom,10,0.03851150202976996,0.02596334322383563,0.23399999999999999,0.04565084884205332,0.24255751014884983,2.7755575615628914e-17,BLiMP
together/opt-175b,10,0.0,0.0,0.0,0.0,0.0,0.0,BLiMP
ai21/j1-grande-v2-beta,10,0.03280108254397832,0.02966720611157077,0.8280000000000001,0.04308131845707603,0.8179972936400542,1.1102230246251565e-16,BLiMP
ai21/j1-jumbo,10,0.048281461434370745,0.033476171637527294,0.812,0.05810335618533578,0.8207036535859269,0.0,BLiMP
ai21/j2-large,10,0.03434370771312584,0.02665215318842837,0.818,0.04331281565541543,0.8217185385656294,1.1102230246251565e-16,BLiMP
cohere/command-xlarge-beta,10,0.04159675236806495,0.029074396683631033,0.8200000000000001,0.04472135954999579,0.7960081190798377,1.1102230246251565e-16,BLiMP
cohere/xlarge-20221108,10,0.04495263870094725,0.038471467793984034,0.8160000000000001,0.05851495535331118,0.8247631935047363,1.1102230246251565e-16,BLiMP
microsoft/TNLGv2_530B,10,0.041999999999999996,0.028789343775907774,0.8300000000000001,0.05,0.8203653585926928,0.0,BLiMP
microsoft/TNLGv2_7B,10,0.042000000000000016,0.028195606714236387,0.8540000000000001,0.04565084884205333,0.8322056833558863,0.0,BLiMP
openai/text-babbage-001,10,0.044000000000000004,0.028596916128433656,0.788,0.04915282290977803,0.7696211096075778,0.0,BLiMP
openai/text-davinci-003,10,0.031999999999999994,0.02243817292647002,0.8200000000000001,0.03898717737923585,0.8227334235453314,1.1102230246251565e-16,BLiMP
AlephAlpha/luminous-base,10,0.046942528735632184,0.030811767908010785,0.724,0.05499090833947009,0.7126436781609196,0.0,BoolQ
ai21/j1-grande-v2-beta,10,0.033999999999999975,0.03211852142738618,0.7979999999999999,0.04422668877499196,0.8132183908045978,1.1102230246251565e-16,BoolQ
ai21/j1-jumbo,10,0.06991570881226054,0.047505777254922936,0.7419999999999999,0.08268010643437756,0.7595785440613028,1.1102230246251565e-16,BoolQ
ai21/j2-large,10,0.040934865900383144,0.026899456240330463,0.726,0.04820788317277579,0.7346743295019157,0.0,BoolQ
anthropic/stanford-online-all-v4-s3,10,0.04937164750957855,0.03467092212465874,0.7899999999999999,0.0574456264653803,0.8084291187739463,1.1102230246251565e-16,BoolQ
cohere/command-xlarge-beta,10,0.057770114942528705,0.028524407849958817,0.812,0.052306787322488085,0.8496168582375478,0.0,BoolQ
cohere/xlarge-20221108,10,0.040850574712643674,0.026486918973977425,0.774,0.04386342439892261,0.7528735632183909,1.1102230246251565e-16,BoolQ
lmsys/vicuna-7b-v1.3,10,0.0404307849874455,0.02866946530433031,0.7207607043742567,0.030279767078575173,0.76,0.0,BoolQ
microsoft/TNLGv2_530B,10,0.05423754789272026,0.031499865260476816,0.776,0.0417612260356422,0.8227969348659003,0.0,BoolQ
microsoft/TNLGv2_7B,10,0.033999999999999996,0.03145531427738334,0.7139999999999999,0.04476605857119879,0.7021072796934866,0.0,BoolQ
mosaicml/mpt-30b,10,0.04012849811524979,0.03481904209837018,0.6748208433234534,0.046783246175223885,0.7,0.0,BoolQ
openai/text-babbage-001,10,0.06400000000000002,0.04750333415891151,0.44000000000000006,0.07483314773547883,0.46743295019157094,5.551115123125783e-17,BoolQ
openai/text-davinci-003,10,0.02709578544061304,0.017476143702603628,0.86,0.028284271247461926,0.8754789272030651,0.0,BoolQ
together/bloom,10,0.06533333333333333,0.05167037023763064,0.6719999999999999,0.0664529909033446,0.7222222222222222,0.0,BoolQ
together/opt-175b,10,0.058183908045977006,0.043429470140731494,0.792,0.07166589146867566,0.8036398467432949,1.1102230246251565e-16,BoolQ
together/redpajama-incite-base-3b-v1,10,0.03475712523677371,0.020452379617056548,0.6878492577419497,0.040144000816572864,0.684,0.0,BoolQ
writer/palmyra-x,10,0.03870498084291189,0.019225722262887924,0.866,0.03469870314579498,0.8917624521072798,1.1102230246251565e-16,BoolQ
AlephAlpha/luminous-base,10,0.05453301886792452,0.04762221354052234,0.466,0.07045565981523415,0.48266509433962257,5.551115123125783e-17,CivilComments
ai21/j1-grande-v2-beta,10,0.03600000000000001,0.027023617839703012,0.76,0.0409878030638384,0.7413915094339621,1.1102230246251565e-16,CivilComments
ai21/j1-jumbo,10,0.03508962264150943,0.0167389597415403,0.392,0.03815756805667782,0.38455188679245284,0.0,CivilComments
ai21/j2-large,10,0.046004716981132066,0.02373757005489549,0.6379999999999999,0.05173006862551024,0.6399764150943398,1.1102230246251565e-16,CivilComments
anthropic/stanford-online-all-v4-s3,10,0.05,0.03452085991818457,0.49000000000000005,0.0601664358259653,0.4984669811320755,0.0,CivilComments
cohere/command-xlarge-beta,10,0.06799999999999998,0.048074894336525995,0.5800000000000001,0.08246211251235322,0.591627358490566,0.0,CivilComments
cohere/xlarge-20221108,10,0.026382075471698095,0.01687338457914035,0.6659999999999999,0.03104834939252003,0.6619103773584907,1.1102230246251565e-16,CivilComments
lmsys/vicuna-7b-v1.3,10,0.04899056603773585,0.04985327997084952,0.49000000000000005,0.06767569726275453,0.47252358490566043,5.551115123125783e-17,CivilComments
microsoft/TNLGv2_530B,10,0.058330188679245276,0.036123696316466,0.42400000000000004,0.068585712797929,0.42582547169811324,5.551115123125783e-17,CivilComments
microsoft/TNLGv2_7B,10,0.043127358490566016,0.02557324969642304,0.544,0.0454312667664022,0.5652122641509434,0.0,CivilComments
mosaicml/mpt-30b,10,0.06719811320754716,0.029398665413992636,0.41600000000000004,0.072,0.40200471698113205,0.0,CivilComments
openai/text-babbage-001,10,0.033999999999999975,0.02495772324247954,0.8140000000000001,0.04199999999999999,0.8101415094339621,1.1102230246251565e-16,CivilComments
openai/text-davinci-003,10,0.04799999999999999,0.035221165893222425,0.7,0.05932958789676531,0.6950471698113209,1.1102230246251565e-16,CivilComments
together/bloom,10,0.066,0.03678085085579234,0.61,0.0754983443527075,0.6129716981132074,1.1102230246251565e-16,CivilComments
together/opt-175b,10,0.039943396226415094,0.03609497208216071,0.21600000000000003,0.05351635264103861,0.21014150943396226,0.0,CivilComments
together/redpajama-incite-base-3b-v1,10,0.06112264150943395,0.03667890558115851,0.628,0.06997142273814361,0.6143867924528302,0.0,CivilComments
writer/palmyra-x,10,0.0014150943396226414,0.0,0.0,0.0,0.0014150943396226414,0.0,CivilComments
AlephAlpha/luminous-base,10,0.0339002169197397,0.0258525393514735,0.2,0.04000000000000001,0.21475054229934926,2.7755575615628914e-17,LSAT
ai21/j1-grande-v2-beta,10,0.045123644251626904,0.026276898018847222,0.186,0.05219195340279956,0.1843817787418655,0.0,LSAT
ai21/j1-jumbo,10,0.042854663774403466,0.020322865777960025,0.22400000000000003,0.0463033476111609,0.23427331887201733,2.7755575615628914e-17,LSAT
ai21/j2-large,10,0.06000000000000001,0.03233389079112485,0.196,0.06740919818541088,0.20607375271149672,2.7755575615628914e-17,LSAT
anthropic/stanford-online-all-v4-s3,10,0.031049891540130152,0.023589748321651373,0.20600000000000002,0.038,0.21475054229934926,2.7755575615628914e-17,LSAT
cohere/command-xlarge-beta,10,0.030355748373101944,0.025737207080947098,0.23399999999999999,0.028354893757515647,0.20607375271149672,2.7755575615628914e-17,LSAT
cohere/xlarge-20221108,10,0.04572668112798264,0.029387179619063165,0.18,0.05366563145999496,0.17136659436008678,0.0,LSAT
lmsys/vicuna-7b-v1.3,10,0.04117136659436009,0.02342435105966098,0.20800000000000002,0.03249615361854384,0.1735357917570499,0.0,LSAT
microsoft/TNLGv2_530B,10,0.027049891540130155,0.016578972917992048,0.21800000000000003,0.031559467676119,0.21475054229934926,2.7755575615628914e-17,LSAT
microsoft/TNLGv2_7B,10,0.03278524945770065,0.023675785853204928,0.21000000000000002,0.04024922359499622,0.20607375271149672,2.7755575615628914e-17,LSAT
mosaicml/mpt-30b,10,0.05149674620390454,0.03590651162776352,0.24400000000000005,0.058514955353311165,0.22125813449023862,0.0,LSAT
openai/text-babbage-001,10,0.027752711496746206,0.02512886536542335,0.182,0.03736308338453881,0.1843817787418655,0.0,LSAT
openai/text-davinci-003,10,0.05,0.037269883130676786,0.25400000000000006,0.062,0.2472885032537961,0.0,LSAT
together/bloom,10,0.048,0.025338856726067383,0.184,0.05351635264103861,0.19305856832971804,2.7755575615628914e-17,LSAT
together/opt-175b,10,0.06076789587852495,0.03290366318443836,0.182,0.05963220606350229,0.21691973969631237,0.0,LSAT
together/redpajama-incite-base-3b-v1,10,0.046,0.030774782279024512,0.21000000000000002,0.05531726674375732,0.20824295010845986,0.0,LSAT
writer/palmyra-x,10,0.03129718004338394,0.018824886419053027,0.196,0.0344093010681705,0.20824295010845986,0.0,LSAT
AlephAlpha/luminous-base,10,0.062,0.038329280950363386,0.258,0.07068238818828917,0.24019174971615995,0.0,WikiFact
ai21/j1-grande-v2-beta,10,0.03999016021193388,0.029073123379061917,0.274,0.0482078831727758,0.2849754005298347,0.0,WikiFact
ai21/j1-jumbo,10,0.04083310205626341,0.02798809272917809,0.26400000000000007,0.04882622246293482,0.255834489718683,0.0,WikiFact
ai21/j2-large,10,0.04990601301771515,0.028721604309087427,0.19435045746215956,0.057228270082641815,0.18798918457378683,0.0,WikiFact
anthropic/stanford-online-all-v4-s3,10,0.038000000000000006,0.021984067959612184,0.278,0.04044749683231337,0.29506749085404316,0.0,WikiFact
