model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,10,0.040744356359521984,0.026526244494356033,0.14507745841971648,0.03703055850359367,0.17658114009405418,2.7755575615628914e-17
ai21/j1-grande-v2-beta,10,0.043903586558592674,0.016516711971346142,0.26125769103959423,0.04491875230520431,0.2747718457817877,0.0
ai21/j1-jumbo,10,0.047569246177497644,0.01988395948926561,0.2393508046215267,0.050973444304730046,0.24709115361745146,2.7755575615628914e-17
ai21/j2-large,10,0.05766470022815453,0.03233230147390951,0.22264882048704687,0.06539221588879546,0.2323675381059441,0.0
anthropic/stanford-online-all-v4-s3,10,0.045857337495977125,0.023444678430916233,0.21703723050312557,0.04551326801235718,0.24114305518896373,0.0
cohere/command-xlarge-beta,10,0.05120760308083394,0.03911928744858629,0.29277555493996504,0.05879926126480052,0.3191418997469929,5.551115123125783e-17
cohere/xlarge-20221108,10,0.045232083498848843,0.03247506308795581,0.3151024776806185,0.05502247907606469,0.3236522084680508,0.0
lmsys/vicuna-7b-v1.3,10,0.062442784923839666,0.032494804949739275,0.22866417452785473,0.068730250163812,0.24386833350447418,2.7755575615628914e-17
microsoft/TNLGv2_530B,10,0.06861501105910764,0.029335961176037317,0.3117796212355036,0.07449005641809604,0.3162349389113043,5.551115123125783e-17
microsoft/TNLGv2_7B,10,0.04822818446785645,0.033103791806636765,0.13207941816578733,0.05004520907230979,0.16236631067643528,0.0
mosaicml/mpt-30b,10,0.05193057021436771,0.021468464607794103,0.2918658873337957,0.05604977689365904,0.29587856793116807,5.551115123125783e-17
openai/text-babbage-001,10,0.02469377795885293,0.017065813298607492,0.04322725052725053,0.02308829696135123,0.062409408822096245,6.938893903907228e-18
openai/text-davinci-003,10,0.04382951543774805,0.027123074276834785,0.3492390032579328,0.04790768754024227,0.3682532362501155,5.551115123125783e-17
together/bloom,10,0.060634275386091986,0.03005766061953353,0.164511965403014,0.053433667044769054,0.2060429362520594,2.7755575615628914e-17
together/opt-175b,10,0.04563190469424484,0.03001492062317025,0.24034581083641188,0.053873588557339154,0.24933483981591748,2.7755575615628914e-17
together/redpajama-incite-base-3b-v1,10,0.042137460749012666,0.03068930602893827,0.13196114681722612,0.04381062580251877,0.16021053919483466,2.7755575615628914e-17
writer/palmyra-x,10,0.05578278634989762,0.0583004948100722,0.34670046332114,0.0779611753094904,0.36750243660303034,5.551115123125783e-17
