model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,10,0.036176100628930785,0.01780131545724159,0.7026666666666667,0.04002221605280968,0.7075471698113207,0.0
ai21/j1-grande-v2-beta,10,0.02622641509433963,0.01759900821036599,0.7693333333333333,0.031580584752872044,0.7688679245283019,0.0
ai21/j1-jumbo,10,0.03199999999999997,0.018438934460070736,0.7146666666666667,0.036854066562893986,0.7122641509433961,1.1102230246251565e-16
ai21/j2-large,10,0.04460377358490566,0.025633985688179237,0.724,0.050964039609643706,0.7169811320754718,1.1102230246251565e-16
anthropic/stanford-online-all-v4-s3,10,0.034666666666666644,0.017942461513437577,0.7226666666666667,0.039009970235540765,0.7240566037735849,0.0
cohere/command-xlarge-beta,10,0.028000000000000014,0.021131739477712224,0.7426666666666667,0.03479463560186637,0.7382075471698112,1.1102230246251565e-16
cohere/xlarge-20221108,10,0.03681132075471699,0.022886079515201493,0.7893333333333333,0.04122566622330749,0.7759433962264151,0.0
lmsys/vicuna-7b-v1.3,10,0.04056603773584906,0.030517133536141425,0.7,0.05068420748999524,0.7028301886792453,0.0
microsoft/TNLGv2_530B,10,0.031823899371069206,0.020472562754059846,0.7933333333333333,0.0378300292242963,0.7924528301886793,0.0
microsoft/TNLGv2_7B,10,0.03520754716981132,0.026352438419250734,0.8186666666666668,0.04389887368841154,0.8160377358490566,0.0
mosaicml/mpt-30b,10,0.03410062893081763,0.01994932566077972,0.8653333333333334,0.03697446566363211,0.8514150943396226,0.0
openai/text-babbage-001,10,0.04533333333333334,0.028760584752662084,0.6906666666666667,0.05326662494783514,0.6839622641509433,1.1102230246251565e-16
openai/text-davinci-003,10,0.03379874213836479,0.021077857971658096,0.8560000000000001,0.038087618285561856,0.8443396226415094,0.0
together/bloom,10,0.034666666666666665,0.022315402226617778,0.6773333333333333,0.04122566622330748,0.6768867924528302,0.0
together/opt-175b,10,0.035999999999999976,0.0128628407425067,0.716,0.03820413008505173,0.7146226415094341,1.1102230246251565e-16
together/redpajama-incite-base-3b-v1,10,0.04237106918238996,0.020976192049234225,0.7986666666666666,0.047121592125526135,0.7948113207547169,0.0
writer/palmyra-x,10,0.034666666666666665,0.018300607273347966,0.8293333333333333,0.039009970235540786,0.8254716981132075,0.0
