model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-extended,10,0.0,0.0,0.0,0.0,0.0,0.0
AlephAlpha/luminous-supreme,10,0.0,0.0,0.0,0.0,0.0,0.0
ai21/j1-grande,10,0.02377777777777778,0.0214717730296554,0.14044444444444443,0.031814275854530276,0.13666666666666666,0.0
ai21/j1-large,10,0.038422222222222226,0.0296763113743963,0.16488888888888886,0.04854220513133232,0.16566666666666666,0.0
ai21/j2-grande,10,0.03648888888888889,0.015705012174697837,0.12088888888888887,0.03888825396307086,0.129,0.0
ai21/j2-jumbo,10,0.0392,0.02185817359905488,0.164,0.043248349715178956,0.176,0.0
cohere/command-medium-beta,10,0.030488888888888878,0.022692969488313564,0.31377777777777777,0.03724858104845681,0.32133333333333336,5.551115123125783e-17
cohere/large-20220720,10,0.0,0.0,0.0,0.0,0.0,0.0
cohere/medium-20220720,10,0.0,0.0,0.0,0.0,0.0,0.0
cohere/medium-20221108,10,0.0,0.0,0.0,0.0,0.0,0.0
cohere/small-20220720,10,0.0,0.0,0.0,0.0,0.0,0.0
cohere/xlarge-20220609,10,0.0,0.0,0.0,0.0,0.0,0.0
eleutherai/pythia-12b-v0,10,0.0,0.0,0.0,0.0,0.0,0.0
eleutherai/pythia-6.9b,10,0.0,0.0,0.0,0.0,0.0,0.0
lmsys/vicuna-13b-v1.3,10,0.033999999999999996,0.022803779197295607,0.3802222222222222,0.03937098010050135,0.36899999999999994,5.551115123125783e-17
meta/llama-13b,10,0.0,0.0,0.0,0.0,0.0,0.0
meta/llama-2-13b,10,0.04133333333333333,0.031739876387384035,0.3488888888888889,0.05103375789067902,0.3383333333333333,0.0
meta/llama-2-70b,10,0.04962222222222219,0.02976895391652093,0.5448888888888889,0.05033026726006067,0.5163333333333335,1.1102230246251565e-16
meta/llama-2-7b,10,0.04622222222222223,0.03567497307222115,0.33955555555555555,0.057544829545384944,0.32966666666666666,0.0
meta/llama-30b,10,0.0,0.0,0.0,0.0,0.0,0.0
meta/llama-65b,10,0.04675555555555553,0.025538970463698765,0.6133333333333334,0.04532461789860254,0.5853333333333335,1.1102230246251565e-16
meta/llama-7b,10,0.0,0.0,0.0,0.0,0.0,0.0
mistralai/mistral-7b-v0.1,10,0.0424888888888889,0.021428675837488136,0.36,0.03522064489983814,0.392,0.0
mosaicml/mpt-instruct-30b,10,0.03318888888888889,0.027247507531270972,0.45533333333333337,0.040763697235968184,0.4418333333333333,0.0
openai/ada,10,0.023755555555555554,0.014563530470084735,0.09,0.02506780927261884,0.10216666666666667,0.0
openai/babbage,10,0.01875555555555556,0.011453911941578396,0.10488888888888888,0.020794111227181486,0.11200000000000002,1.3877787807814457e-17
openai/code-cushman-001,10,0.036,0.033206425081099396,0.23688888888888893,0.048281070083367676,0.22866666666666666,0.0
openai/code-davinci-002,10,0.03995555555555559,0.02888287116810892,0.7355555555555555,0.048452598702109426,0.7446666666666666,0.0
openai/curie,10,0.028488888888888887,0.01938531963326761,0.12044444444444444,0.032383504412349995,0.10866666666666666,1.3877787807814457e-17
openai/davinci,10,0.027555555555555562,0.02014392657298417,0.15466666666666665,0.034126851236359945,0.15533333333333335,0.0
openai/gpt-3.5-turbo-0301,10,0.03265555555555553,0.027449401261769462,0.7346666666666667,0.03582122965263982,0.7115,0.0
openai/gpt-3.5-turbo-0613,10,0.03622222222222223,0.02529431693356834,0.6777777777777778,0.041751764951235414,0.6633333333333333,0.0
openai/text-ada-001,10,0.042622222222222214,0.02752059610321954,0.2591111111111111,0.04083329554042091,0.229,0.0
openai/text-curie-001,10,0.04042222222222223,0.02890139900069771,0.23288888888888892,0.04953911037544097,0.229,0.0
openai/text-davinci-002,10,0.03955555555555558,0.024416145235236237,0.7293333333333334,0.04600375722712601,0.7226666666666668,1.1102230246251565e-16
stanford/alpaca-7b,10,0.056644444444444456,0.029499573129366036,0.2717777777777778,0.05605156356229306,0.24116666666666667,0.0
tiiuae/falcon-40b-instruct,10,0.028666666666666663,0.02563297451947489,0.184,0.03803572070281719,0.17833333333333332,2.7755575615628914e-17
tiiuae/falcon-40b,10,0.028955555555555557,0.018574055980198713,0.13244444444444442,0.03348410346993309,0.14033333333333337,2.7755575615628914e-17
tiiuae/falcon-7b-instruct,10,0.028200000000000003,0.029813113362999535,0.1328888888888889,0.038615547307103655,0.119,0.0
tiiuae/falcon-7b,10,0.037911111111111104,0.015797937043007065,0.13066666666666665,0.038959301334775334,0.14366666666666666,0.0
together/glm,10,0.049333333333333326,0.03127910989861096,0.2813333333333333,0.05760829844200153,0.2716666666666666,5.551115123125783e-17
together/gpt-j-6b,10,0.04810000000000001,0.019676344134989074,0.25666666666666665,0.039730574102553796,0.22316666666666665,0.0
together/gpt-neox-20b,10,0.0384,0.027785030164363105,0.21466666666666664,0.04528319667641152,0.2006666666666667,2.7755575615628914e-17
together/opt-66b,10,0.026311111111111125,0.01594193166417374,0.23955555555555558,0.028420128495552303,0.2513333333333333,5.551115123125783e-17
together/redpajama-incite-base-7b,10,0.0,0.0,0.0,0.0,0.0,0.0
together/redpajama-incite-instruct-3b-v1,10,0.0,0.0,0.0,0.0,0.0,0.0
together/redpajama-incite-instruct-7b,10,0.0,0.0,0.0,0.0,0.0,0.0
together/t0pp,10,0.0,0.0,0.0,0.0,0.0,0.0
together/t5-11b,10,0.02008888888888889,0.012163170476869208,0.04977777777777777,0.022644869693967992,0.05600000000000001,6.938893903907228e-18
together/ul2,10,0.03766666666666667,0.01962110227079477,0.22266666666666665,0.019621102270794766,0.185,0.0
together/yalm,10,0.015855555555555557,0.009525119486629442,0.028000000000000004,0.013633654800158192,0.040499999999999994,6.938893903907228e-18
writer/palmyra-instruct-30,10,0.025111111111111105,0.0263661305372285,0.2008888888888889,0.03593134743361375,0.195,0.0
