model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
ai21/j1-grande-v2-beta,10,0.028767757614104623,0.029391066476731058,0.2480757238974134,0.040584937647361784,0.25473015873015875,0.0,MS MARCO
ai21/j1-jumbo,10,0.021790623903420712,0.013444803372468249,0.20051513175765462,0.0255802411698452,0.19939920634920633,0.0,MS MARCO
ai21/j2-large,10,0.02832155070105983,0.022594775514219404,0.21907336456645815,0.03614697947520038,0.22152896825396823,2.7755575615628914e-17,MS MARCO
anthropic/stanford-online-all-v4-s3,10,0.0381530268608465,0.024573909501708298,0.3809760280257426,0.04512662162851985,0.37616785714285716,0.0,MS MARCO
cohere/command-xlarge-beta,10,0.023928107140910815,0.013956526672578802,0.4531568457531052,0.0198012062653315,0.4725282468007091,0.0,MS MARCO
cohere/xlarge-20221108,10,0.020722276679810917,0.02204106813318164,0.23921729596524116,0.03024548384339845,0.23855992063492062,0.0,MS MARCO
microsoft/TNLGv2_530B,10,0.03368394669130971,0.0359152331805952,0.31839559821563246,0.047524327337145615,0.3312777777777778,0.0,MS MARCO
microsoft/TNLGv2_7B,10,0.026732544571642747,0.016608169569397105,0.12255903152826668,0.02781601882487869,0.10783730158730158,0.0,MS MARCO
openai/text-babbage-001,10,0.018332949208177525,0.011650703540782731,0.17481877965702164,0.02146716396451854,0.17813492063492067,2.7755575615628914e-17,MS MARCO
openai/text-davinci-003,10,0.040396711858629676,0.027771846702412426,0.36166595480020136,0.04884830367823444,0.35754126984126977,5.551115123125783e-17,MS MARCO
together/bloom,10,0.022893369582890132,0.014490971743251731,0.2101338904462192,0.02470744520288836,0.19901468253968252,0.0,MS MARCO
together/opt-175b,10,0.022027265962962315,0.015600770449121896,0.22295784134591212,0.021783494248838804,0.23889722222222218,2.7755575615628914e-17,MS MARCO
AlephAlpha/luminous-base,10,0.019082132385249185,0.018063347451937075,0.9287076141656975,0.025177204499138277,0.9211895910780669,0.0,IMDB
ai21/j1-grande-v2-beta,10,0.02657436999223608,0.020526856125539193,0.9511723336424407,0.026014987217079455,0.9299410029498526,1.1102230246251565e-16,IMDB
ai21/j1-jumbo,10,0.03399508755738073,0.019291347998685978,0.9365262513217733,0.03225910798225105,0.9144542772861358,1.1102230246251565e-16,IMDB
ai21/j2-large,10,0.020627143894104426,0.017214518442351424,0.9416772101793173,0.02684522001276834,0.9427509293680296,1.1102230246251565e-16,IMDB
anthropic/stanford-online-all-v4-s3,10,0.02386462740291113,0.017542074484974,0.9243383007515362,0.028892511260954795,0.9308550185873606,0.0,IMDB
cohere/command-xlarge-beta,10,0.01944637106323214,0.011104295070004579,0.9570815846250713,0.021730449627233542,0.9516728624535314,1.1102230246251565e-16,IMDB
cohere/xlarge-20221108,10,0.023252292031807776,0.014946972336718269,0.9480654412120803,0.027071390488014893,0.9424778761061946,1.1102230246251565e-16,IMDB
lmsys/vicuna-7b-v1.3,10,0.0242327008292172,0.022240934567902198,0.9379850817815981,0.02446505955415789,0.916,0.0,IMDB
microsoft/TNLGv2_530B,10,0.0179077751251016,0.01789730980900503,0.9327555001634916,0.025188212025994,0.9353159851301115,0.0,IMDB
microsoft/TNLGv2_7B,10,0.021754765077697313,0.011578799059396818,0.9293322189949859,0.02446846064253746,0.9263940520446099,2.220446049250313e-16,IMDB
mosaicml/mpt-30b,10,0.013121675658963172,0.01185322449437442,0.9656799917390184,0.016372385696034344,0.959,0.0,IMDB
openai/text-babbage-001,10,0.02271291253394846,0.019487003996208747,0.9200625833317992,0.02819498057782806,0.9100294985250738,0.0,IMDB
openai/text-davinci-003,10,0.03890312496525815,0.031239002025650234,0.8324161076679578,0.04698613166133558,0.8156342182890854,1.1102230246251565e-16,IMDB
together/bloom,10,0.027717780350990172,0.018455789121837828,0.9521882267862122,0.03311670261224961,0.9486988847583643,0.0,IMDB
together/opt-175b,10,0.017452730082680223,0.010556760719303398,0.9589694896149703,0.019047367699776042,0.9516728624535314,1.1102230246251565e-16,IMDB
together/redpajama-incite-base-3b-v1,10,0.032171389477120414,0.027202164577266204,0.9215918955470341,0.04050412344692699,0.9099999999999999,1.1102230246251565e-16,IMDB
writer/palmyra-x,10,0.032215356128528196,0.02258379383828455,0.9486951484064099,0.034677165752392894,0.9301115241635689,1.1102230246251565e-16,IMDB
AlephAlpha/luminous-base,10,0.03196165005676802,0.02738852826391021,0.256,0.039009970235540786,0.24019174971615995,0.0,WikiFact
ai21/j1-grande-v2-beta,10,0.031323493545267214,0.028659573275428583,0.27999999999999997,0.042163702135578386,0.2849754005298347,0.0,WikiFact
ai21/j1-jumbo,10,0.036,0.02938662447655361,0.26,0.04628414655389275,0.255834489718683,0.0,WikiFact
ai21/j2-large,10,0.027476208559096514,0.014413571537527273,0.18990640541328713,0.030968005190889686,0.18798918457378683,0.0,WikiFact
anthropic/stanford-online-all-v4-s3,10,0.030373827845759226,0.015129583836883951,0.27999999999999997,0.03040467800264368,0.29506749085404316,0.0,WikiFact
cohere/command-xlarge-beta,10,0.05855413985955173,0.03660300561730555,0.31333333333333335,0.06779052703405952,0.3264791219881418,0.0,WikiFact
cohere/xlarge-20221108,10,0.029887052689121563,0.022052891575959275,0.304,0.037142368739157654,0.3038980698877255,0.0,WikiFact
lmsys/vicuna-7b-v1.3,10,0.037759555948025735,0.02883239393708851,0.1733333333333333,0.042583251793790175,0.19439888987006435,0.0,WikiFact
microsoft/TNLGv2_530B,10,0.027371767377318012,0.027771422605591362,0.2986666666666667,0.038735570790223856,0.3031411631134099,0.0,WikiFact
microsoft/TNLGv2_7B,10,0.031999999999999994,0.028160154846301567,0.21066666666666664,0.04207929023482533,0.2038602245490097,0.0,WikiFact
mosaicml/mpt-30b,10,0.039211975947184737,0.027429073320624116,0.32933333333333337,0.04582090740650556,0.34313107102308565,0.0,WikiFact
openai/text-babbage-001,10,0.032,0.01839996634296986,0.12533333333333335,0.035377331097124265,0.11479752743787057,0.0,WikiFact
openai/text-davinci-003,10,0.02195887473192886,0.01588562348657225,0.3373333333333334,0.02602562839459086,0.3448971868298222,5.551115123125783e-17,WikiFact
together/bloom,10,0.03273470417560238,0.026847304244063466,0.192,0.04182503237695499,0.1854421597073294,2.7755575615628914e-17,WikiFact
together/opt-175b,10,0.02146991295572095,0.017120465482153045,0.19733333333333333,0.025157283018817603,0.1863252176106976,2.7755575615628914e-17,WikiFact
together/redpajama-incite-base-3b-v1,10,0.027973424162146265,0.015980171708592113,0.16933333333333334,0.028000000000000004,0.1533997729279677,0.0,WikiFact
writer/palmyra-x,10,0.048,0.04003152025157363,0.33333333333333337,0.05688194402053745,0.30743030150119843,0.0,WikiFact
AlephAlpha/luminous-base,10,0.027466666666666667,0.026953128039452334,0.528,0.03827386691841953,0.524,0.0,DyckLanguage
ai21/j1-grande-v2-beta,10,0.035199999999999995,0.014113193197225876,0.66,0.03438345855527368,0.644,0.0,DyckLanguage
ai21/j1-jumbo,10,0.04746666666666665,0.03171091645194477,0.49866666666666665,0.04814792022738076,0.4680000000000001,5.551115123125783e-17,DyckLanguage
ai21/j2-large,10,0.02799999999999999,0.011175369742826796,0.572,0.0300813711271426,0.574,0.0,DyckLanguage
anthropic/stanford-online-all-v4-s3,10,0.03333333333333337,0.024988886418655064,0.8506666666666666,0.04165466493816884,0.85,0.0,DyckLanguage
cohere/command-xlarge-beta,10,0.04813333333333333,0.024910149649401067,0.4373333333333333,0.05157087894883657,0.454,0.0,DyckLanguage
cohere/xlarge-20221108,10,0.05506666666666667,0.04621803399828542,0.6066666666666667,0.07136759301905406,0.598,0.0,DyckLanguage
lmsys/vicuna-7b-v1.3,10,0.030666666666666686,0.027268215114956734,0.62,0.0409878030638384,0.622,0.0,DyckLanguage
microsoft/TNLGv2_530B,10,0.039200000000000026,0.02605600805103413,0.7706666666666666,0.04649492206443386,0.7780000000000001,1.1102230246251565e-16,DyckLanguage
microsoft/TNLGv2_7B,10,0.07333333333333333,0.04133333333333334,0.5293333333333334,0.083915301213651,0.5359999999999999,1.1102230246251565e-16,DyckLanguage
mosaicml/mpt-30b,10,0.03879999999999999,0.030035238563320178,0.6213333333333333,0.047403703559016463,0.6340000000000001,1.1102230246251565e-16,DyckLanguage
openai/text-babbage-001,10,0.0336,0.0201752323406696,0.20800000000000002,0.03919183588453085,0.20800000000000002,2.7755575615628914e-17,DyckLanguage
openai/text-davinci-003,10,0.028000000000000004,0.02825282680055614,0.756,0.0395755255457489,0.76,0.0,DyckLanguage
together/bloom,10,0.048,0.02543837870445187,0.5440000000000002,0.051914459557151425,0.5280000000000001,1.1102230246251565e-16,DyckLanguage
together/opt-175b,10,0.04826666666666669,0.03796044725178505,0.5426666666666666,0.05531324936717746,0.516,0.0,DyckLanguage
