model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,10,0.015966127790608162,0.008100527508604412,0.04666666666666667,0.014907119849998596,0.05658198614318707,0.0
ai21/j1-grande-v2-beta,10,0.026666666666666672,0.014167459658316206,0.09866666666666667,0.02993325909419153,0.09468822170900693,0.0
ai21/j1-jumbo,10,0.017333333333333336,0.016647450978271288,0.049333333333333326,0.023888630489558558,0.05196304849884527,0.0
ai21/j2-large,10,0.016628175519630483,0.01120075183263113,0.037333333333333336,0.019595917942265426,0.0415704387990762,6.938893903907228e-18
anthropic/stanford-online-all-v4-s3,10,0.032665127020785216,0.01770510183166433,0.152,0.03587633079219656,0.16166281755196305,0.0
cohere/command-xlarge-beta,10,0.014337182448036948,0.009229726454666243,0.09333333333333334,0.016865480854231358,0.09584295612009239,1.3877787807814457e-17
cohere/xlarge-20221108,10,0.016779060816012315,0.009444155206489358,0.10666666666666666,0.018856180831641266,0.10277136258660509,1.3877787807814457e-17
lmsys/vicuna-13b-v1.3,10,0.035504234026173975,0.03128510725602735,0.11733333333333333,0.04687572221665852,0.11085450346420325,1.3877787807814457e-17
meta/llama-7b,10,0.02533333333333333,0.020315173441374797,0.09200000000000001,0.031240998703626614,0.0831408775981524,1.3877787807814457e-17
microsoft/TNLGv2_530B,10,0.02411085450346421,0.01350660525181074,0.15466666666666667,0.02324746103221693,0.1397228637413395,0.0
mistralai/mistral-7b-v0.1,10,0.04057274826789838,0.031917108524749646,0.29066666666666674,0.04981744451271841,0.27713625866050806,0.0
openai/text-babbage-001,10,0.009071593533487299,0.008523112479689836,0.016,0.011623730516108462,0.011547344110854504,0.0
stanford/alpaca-7b,10,0.02486220169361047,0.019258355478290138,0.072,0.02993325909419153,0.062355658198614314,6.938893903907228e-18
together/bloom,10,0.02234334103156274,0.014478947748811302,0.058666666666666666,0.025438378704451883,0.05080831408775981,6.938893903907228e-18
together/opt-175b,10,0.012301770592763665,0.009924457510788975,0.034666666666666665,0.01359738536958076,0.042725173210161664,0.0
together/redpajama-incite-instruct-3b-v1,10,0.021764434180138566,0.016895078308955525,0.04133333333333333,0.025612496949731396,0.031177829099307157,3.469446951953614e-18
together/yalm,10,0.0,0.0,0.0,0.0,0.0,0.0
