model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-extended,1,0.0631,0.0,0.13,0.0,0.1931,0.0
AlephAlpha/luminous-supreme,1,0.0252,0.0,0.24,0.0,0.2148,0.0
ai21/j1-grande,1,0.0039,0.0,0.21,0.0,0.2061,0.0
ai21/j1-large,1,0.0352,0.0,0.16,0.0,0.1952,0.0
ai21/j2-grande,1,0.0348,0.0,0.23,0.0,0.1952,0.0
ai21/j2-jumbo,1,0.0426,0.0,0.17,0.0,0.2126,0.0
cohere/command-medium-beta,1,0.0457,0.0,0.13,0.0,0.1757,0.0
cohere/large-20220720,1,0.0934,0.0,0.28,0.0,0.1866,0.0
cohere/medium-20220720,1,0.0604,0.0,0.26,0.0,0.1996,0.0
cohere/medium-20221108,1,0.0248,0.0,0.19,0.0,0.2148,0.0
cohere/small-20220720,1,0.0369,0.0,0.23,0.0,0.1931,0.0
cohere/xlarge-20220609,1,0.0914,0.0,0.08,0.0,0.1714,0.0
eleutherai/pythia-12b-v0,1,0.0921,0.0,0.27,0.0,0.1779,0.0
eleutherai/pythia-6.9b,1,0.0174,0.0,0.18,0.0,0.1974,0.0
lmsys/vicuna-13b-v1.3,1,0.0326,0.0,0.18,0.0,0.2126,0.0
meta/llama-13b,1,0.0496,0.0,0.26,0.0,0.2104,0.0
meta/llama-2-13b,1,0.0031,0.0,0.22,0.0,0.2169,0.0
meta/llama-2-70b,1,0.0287,0.0,0.25,0.0,0.2213,0.0
meta/llama-2-7b,1,0.023,0.0,0.19,0.0,0.167,0.0
meta/llama-30b,1,0.0204,0.0,0.19,0.0,0.2104,0.0
meta/llama-65b,1,0.0687,0.0,0.29,0.0,0.2213,0.0
meta/llama-7b,1,0.0218,0.0,0.23,0.0,0.2082,0.0
mistralai/mistral-7b-v0.1,1,0.0191,0.0,0.2,0.0,0.2191,0.0
mosaicml/mpt-instruct-30b,1,0.0104,0.0,0.2,0.0,0.2104,0.0
openai/ada,1,0.0044,0.0,0.18,0.0,0.1844,0.0
openai/babbage,1,0.0369,0.0,0.18,0.0,0.2169,0.0
openai/code-cushman-001,1,0.0,0.0,0.0,0.0,0.0,0.0
openai/code-davinci-002,1,0.0,0.0,0.0,0.0,0.0,0.0
openai/curie,1,0.0339,0.0,0.17,0.0,0.2039,0.0
openai/davinci,1,0.0482,0.0,0.16,0.0,0.2082,0.0
openai/gpt-3.5-turbo-0301,1,0.0313,0.0,0.19,0.0,0.2213,0.0
openai/gpt-3.5-turbo-0613,1,0.0047,0.0,0.15,0.0,0.1453,0.0
openai/text-ada-001,1,0.0531,0.0,0.14,0.0,0.1931,0.0
openai/text-curie-001,1,0.0696,0.0,0.13,0.0,0.1996,0.0
openai/text-davinci-002,1,0.0344,0.0,0.26,0.0,0.2256,0.0
stanford/alpaca-7b,1,0.0252,0.0,0.24,0.0,0.2148,0.0
tiiuae/falcon-40b-instruct,1,0.0748,0.0,0.27,0.0,0.1952,0.0
tiiuae/falcon-40b,1,0.0026,0.0,0.21,0.0,0.2126,0.0
tiiuae/falcon-7b-instruct,1,0.0283,0.0,0.23,0.0,0.2017,0.0
tiiuae/falcon-7b,1,0.0214,0.0,0.26,0.0,0.2386,0.0
together/glm,1,0.0174,0.0,0.18,0.0,0.1974,0.0
together/gpt-j-6b,1,0.0466,0.0,0.14,0.0,0.1866,0.0
together/gpt-neox-20b,1,0.0587,0.0,0.28,0.0,0.2213,0.0
together/opt-66b,1,0.0004,0.0,0.2,0.0,0.1996,0.0
together/redpajama-incite-base-7b,1,0.0261,0.0,0.18,0.0,0.2061,0.0
together/redpajama-incite-instruct-3b-v1,1,0.06,0.0,0.12,0.0,0.18,0.0
together/redpajama-incite-instruct-7b,1,0.0651,0.0,0.18,0.0,0.2451,0.0
together/t0pp,1,0.0374,0.0,0.16,0.0,0.1974,0.0
together/t5-11b,1,0.0091,0.0,0.2,0.0,0.1909,0.0
together/ul2,1,0.0631,0.0,0.28,0.0,0.2169,0.0
together/yalm,1,0.0113,0.0,0.21,0.0,0.2213,0.0
writer/palmyra-instruct-30,1,0.0283,0.0,0.23,0.0,0.2017,0.0
