model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
AlephAlpha/luminous-base,1,0.0125,0.0,0.72,0.0,0.7075,0.0,EntityDataImputation
ai21/j1-grande-v2-beta,1,0.0711,0.0,0.84,0.0,0.7689,0.0,EntityDataImputation
ai21/j1-jumbo,1,0.0077,0.0,0.72,0.0,0.7123,0.0,EntityDataImputation
ai21/j2-large,1,0.003,0.0,0.72,0.0,0.717,0.0,EntityDataImputation
anthropic/stanford-online-all-v4-s3,1,0.0041,0.0,0.72,0.0,0.7241,0.0,EntityDataImputation
cohere/command-xlarge-beta,1,0.0218,0.0,0.76,0.0,0.7382,0.0,EntityDataImputation
cohere/xlarge-20221108,1,0.0241,0.0,0.8,0.0,0.7759,0.0,EntityDataImputation
lmsys/vicuna-7b-v1.3,1,0.0572,0.0,0.76,0.0,0.7028,0.0,EntityDataImputation
microsoft/TNLGv2_530B,1,0.0875,0.0,0.88,0.0,0.7925,0.0,EntityDataImputation
microsoft/TNLGv2_7B,1,0.104,0.0,0.92,0.0,0.816,0.0,EntityDataImputation
mosaicml/mpt-30b,1,0.0286,0.0,0.88,0.0,0.8514,0.0,EntityDataImputation
openai/text-babbage-001,1,0.076,0.0,0.76,0.0,0.684,0.0,EntityDataImputation
openai/text-davinci-003,1,0.0757,0.0,0.92,0.0,0.8443,0.0,EntityDataImputation
together/bloom,1,0.0031,0.0,0.68,0.0,0.6769,0.0,EntityDataImputation
together/opt-175b,1,0.0054,0.0,0.72,0.0,0.7146,0.0,EntityDataImputation
together/redpajama-incite-base-3b-v1,1,0.0452,0.0,0.84,0.0,0.7948,0.0,EntityDataImputation
writer/palmyra-x,1,0.0945,0.0,0.92,0.0,0.8255,0.0,EntityDataImputation
AlephAlpha/luminous-base,1,0.075,0.0,0.4,0.0,0.475,0.0,RAFT
ai21/j1-grande-v2-beta,1,0.1195,0.0,0.56,0.0,0.6795,0.0,RAFT
ai21/j1-jumbo,1,0.0523,0.0,0.6,0.0,0.6523,0.0,RAFT
ai21/j2-large,1,0.0959,0.0,0.68,0.0,0.5841,0.0,RAFT
anthropic/stanford-online-all-v4-s3,1,0.0291,0.0,0.72,0.0,0.6909,0.0,RAFT
cohere/command-xlarge-beta,1,0.0927,0.0,0.72,0.0,0.6273,0.0,RAFT
cohere/xlarge-20221108,1,0.1691,0.0,0.44,0.0,0.6091,0.0,RAFT
lmsys/vicuna-7b-v1.3,1,0.0395,0.0,0.64,0.0,0.6795,0.0,RAFT
microsoft/TNLGv2_530B,1,0.0145,0.0,0.64,0.0,0.6545,0.0,RAFT
microsoft/TNLGv2_7B,1,0.0268,0.0,0.48,0.0,0.5068,0.0,RAFT
mosaicml/mpt-30b,1,0.0623,0.0,0.64,0.0,0.7023,0.0,RAFT
openai/text-babbage-001,1,0.0109,0.0,0.52,0.0,0.5091,0.0,RAFT
openai/text-davinci-003,1,0.0209,0.0,0.72,0.0,0.7409,0.0,RAFT
together/bloom,1,0.0114,0.0,0.6,0.0,0.5886,0.0,RAFT
together/opt-175b,1,0.0332,0.0,0.56,0.0,0.5932,0.0,RAFT
together/redpajama-incite-base-3b-v1,1,0.0509,0.0,0.44,0.0,0.4909,0.0,RAFT
writer/palmyra-x,1,0.0841,0.0,0.8,0.0,0.7159,0.0,RAFT
AlephAlpha/luminous-base,1,0.029,0.0,0.0,0.0,0.029,0.0,GSM8K-Classic
ai21/j1-grande-v2-beta,1,0.042,0.0,0.04,0.0,0.082,0.0,GSM8K-Classic
ai21/j1-jumbo,1,0.052,0.0,0.0,0.0,0.052,0.0,GSM8K-Classic
ai21/j2-large,1,0.02,0.0,0.0,0.0,0.02,0.0,GSM8K-Classic
anthropic/stanford-online-all-v4-s3,1,0.031,0.0,0.12,0.0,0.151,0.0,GSM8K-Classic
cohere/command-xlarge-beta,1,0.087,0.0,0.04,0.0,0.127,0.0,GSM8K-Classic
cohere/xlarge-20221108,1,0.077,0.0,0.16,0.0,0.083,0.0,GSM8K-Classic
lmsys/vicuna-7b-v1.3,1,0.106,0.0,0.24,0.0,0.134,0.0,GSM8K-Classic
microsoft/TNLGv2_530B,1,0.056,0.0,0.08,0.0,0.136,0.0,GSM8K-Classic
microsoft/TNLGv2_7B,1,0.019,0.0,0.0,0.0,0.019,0.0,GSM8K-Classic
mosaicml/mpt-30b,1,0.124,0.0,0.04,0.0,0.164,0.0,GSM8K-Classic
openai/text-babbage-001,1,0.0,0.0,0.0,0.0,0.0,0.0,GSM8K-Classic
openai/text-davinci-003,1,0.039,0.0,0.56,0.0,0.521,0.0,GSM8K-Classic
together/bloom,1,0.033,0.0,0.12,0.0,0.087,0.0,GSM8K-Classic
together/opt-175b,1,0.006,0.0,0.04,0.0,0.034,0.0,GSM8K-Classic
together/redpajama-incite-base-3b-v1,1,0.03,0.0,0.04,0.0,0.01,0.0,GSM8K-Classic
writer/palmyra-x,1,0.265,0.0,0.36,0.0,0.625,0.0,GSM8K-Classic
AlephAlpha/luminous-base,1,0.0566,0.0,0.0,0.0,0.0566,0.0,MATH-Classic
ai21/j1-grande-v2-beta,1,0.0253,0.0,0.12,0.0,0.0947,0.0,MATH-Classic
ai21/j1-jumbo,1,0.012,0.0,0.04,0.0,0.052,0.0,MATH-Classic
