model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
ai21/j2-jumbo,1,0.0018,0.0,0.7439,0.0,0.7421,0.0
anthropic/claude-2.1,1,0.0038,0.0,0.6758,0.0,0.6796,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.0093,0.0,0.7702,0.0,0.7609,0.0
anthropic/claude-3-5-sonnet-20241022,1,0.0092,0.0,0.7716,0.0,0.7808,0.0
cohere/command-r-plus,1,0.0077,0.0,0.7375,0.0,0.7452,0.0
cohere/command,1,0.0081,0.0,0.7445,0.0,0.7526,0.0
databricks/dbrx-instruct,1,0.019,0.0,0.4874,0.0,0.5064,0.0
google/gemini-2.0-flash-exp,1,0.0175,0.0,0.7694,0.0,0.7869,0.0
meta/llama-2-13b,1,0.032,0.0,0.7826,0.0,0.7506,0.0
meta/llama-2-70b,1,0.0264,0.0,0.7917,0.0,0.7653,0.0
meta/llama-3-8b,1,0.0254,0.0,0.7828,0.0,0.7574,0.0
meta/llama-3.1-405b-instruct-turbo,1,0.0502,0.0,0.7018,0.0,0.7521,0.0
microsoft/phi-2,1,0.0152,0.0,0.705,0.0,0.7202,0.0
microsoft/phi-3-small-8k-instruct,1,0.0021,0.0,0.761,0.0,0.7589,0.0
mistralai/mistral-7b-v0.1,1,0.0173,0.0,0.7163,0.0,0.7336,0.0
mistralai/mixtral-8x22b,1,0.0368,0.0,0.8223,0.0,0.7855,0.0
mistralai/open-mistral-nemo-2407,1,0.0227,0.0,0.7175,0.0,0.7402,0.0
openai/gpt-3.5-turbo-0613,1,0.0108,0.0,0.6631,0.0,0.6522,0.0
qwen/qwen1.5-32b,1,0.0117,0.0,0.6024,0.0,0.5907,0.0
qwen/qwen2.5-7b-instruct-turbo,1,0.0183,0.0,0.7588,0.0,0.7405,0.0
tiiuae/falcon-40b,1,0.0267,0.0,0.6462,0.0,0.6729,0.0
writer/palmyra-x-v3,1,0.0161,0.0,0.7306,0.0,0.7144,0.0
