model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-6b,1,0.0466,0.0,0.6658,0.0,0.7124,0.0
01-ai/yi-large-preview,1,0.0002,0.0,0.3808,0.0,0.381,0.0
ai21/jamba-instruct,1,0.099,0.0,0.7668,0.0,0.6678,0.0
amazon/nova-micro-v1:0,1,0.0196,0.0,0.7281,0.0,0.7477,0.0
anthropic/claude-3-5-sonnet-20241022,1,0.017,0.0,0.7977,0.0,0.7808,0.0
anthropic/claude-3-haiku-20240307,1,0.0072,0.0,0.2493,0.0,0.242,0.0
anthropic/claude-instant-1.2,1,0.0203,0.0,0.6499,0.0,0.6296,0.0
google/gemma-2-27b-it,1,0.0251,0.0,0.7668,0.0,0.7918,0.0
google/gemma-2-9b-it,1,0.0151,0.0,0.7948,0.0,0.7797,0.0
google/text-bison@001,1,0.0479,0.0,0.6738,0.0,0.7217,0.0
meta/llama-2-70b,1,0.0401,0.0,0.7252,0.0,0.7653,0.0
meta/llama-2-7b,1,0.0579,0.0,0.7587,0.0,0.7008,0.0
meta/llama-3.2-90b-vision-instruct-turbo,1,0.0234,0.0,0.7553,0.0,0.7787,0.0
microsoft/phi-3-medium-4k-instruct,1,0.0486,0.0,0.7875,0.0,0.7389,0.0
mistralai/mixtral-8x22b,1,0.0095,0.0,0.795,0.0,0.7855,0.0
openai/gpt-3.5-turbo-0613,1,0.015,0.0,0.6372,0.0,0.6522,0.0
openai/gpt-4-1106-preview,1,0.0092,0.0,0.7196,0.0,0.7289,0.0
qwen/qwen1.5-72b,1,0.0438,0.0,0.6495,0.0,0.6057,0.0
qwen/qwen2-72b-instruct,1,0.0164,0.0,0.7537,0.0,0.7373,0.0
qwen/qwen2.5-7b-instruct-turbo,1,0.0558,0.0,0.6847,0.0,0.7405,0.0
snowflake/snowflake-arctic-instruct,1,0.0081,0.0,0.6585,0.0,0.6503,0.0
writer/palmyra-x-v3,1,0.0454,0.0,0.7599,0.0,0.7144,0.0
